name,seed,recurrence,parameters,accuracy,loss,available
one-pass-vrc,20260809,1,36,0.071,2.393829998937009,true
linear-recurrent,20260809,32,36,0.098,16.9179935837291,true
feed-forward-local,20260809,8,288,0.213,2.2716887980852114,true
unshared-recurrent,20260809,8,288,0.07,7.664767656926216,true
one-pass-vrc,20260810,1,36,0.07,2.3933796537019676,true
linear-recurrent,20260810,32,36,0.079,16.870490800984342,true
feed-forward-local,20260810,8,288,0.195,2.272045148080528,true
unshared-recurrent,20260810,8,288,0.07,7.5224907433985715,true
one-pass-vrc,20260811,1,36,0.068,2.3931719079473095,true
linear-recurrent,20260811,32,36,0.098,10.758595276027563,true
feed-forward-local,20260811,8,288,0.187,2.2706681912447397,true
unshared-recurrent,20260811,8,288,0.07,7.587045547209416,true
