seed,corruption,severity,accuracy_t1,accuracy_t32,recurrence_gain,difficulty,held_out
20260809,clean,0.0,0.071,0.071,0.0,0.929,false
20260809,gaussian-010,0.1,0.073,0.072,-0.0010000000000000009,0.927,false
20260809,gaussian-020,0.2,0.073,0.074,0.0010000000000000009,0.927,false
20260809,gaussian-030,0.3,0.076,0.078,0.0020000000000000018,0.924,false
20260809,gaussian-040,0.4,0.08,0.081,0.0010000000000000009,0.92,false
20260809,occlusion-010,0.1,0.084,0.086,0.001999999999999988,0.916,false
20260809,occlusion-025,0.25,0.108,0.104,-0.0040000000000000036,0.892,false
20260809,occlusion-040,0.4,0.119,0.107,-0.011999999999999997,0.881,false
20260809,occlusion-055,0.55,0.128,0.117,-0.010999999999999996,0.872,false
20260809,vertical-strip,0.25,0.097,0.097,0.0,0.903,true
20260809,horizontal-strip,0.25,0.116,0.117,0.0010000000000000009,0.884,true
20260809,central-block,0.25,0.102,0.088,-0.013999999999999999,0.898,true
20260809,random-patches,0.25,0.076,0.078,0.0020000000000000018,0.924,false
20260810,clean,0.0,0.07,0.07,0.0,0.9299999999999999,false
20260810,gaussian-010,0.1,0.071,0.071,0.0,0.929,false
20260810,gaussian-020,0.2,0.066,0.067,0.0010000000000000009,0.9339999999999999,false
20260810,gaussian-030,0.3,0.064,0.065,0.0010000000000000009,0.9359999999999999,false
20260810,gaussian-040,0.4,0.065,0.065,0.0,0.935,false
20260810,occlusion-010,0.1,0.069,0.07,0.0010000000000000009,0.931,false
20260810,occlusion-025,0.25,0.091,0.087,-0.0040000000000000036,0.909,false
20260810,occlusion-040,0.4,0.114,0.097,-0.017,0.886,false
20260810,occlusion-055,0.55,0.124,0.111,-0.012999999999999998,0.876,false
20260810,vertical-strip,0.25,0.097,0.096,-0.0010000000000000009,0.903,true
20260810,horizontal-strip,0.25,0.112,0.111,-0.0010000000000000009,0.888,true
20260810,central-block,0.25,0.101,0.092,-0.009000000000000008,0.899,true
20260810,random-patches,0.25,0.079,0.079,0.0,0.921,false
20260811,clean,0.0,0.068,0.072,0.00399999999999999,0.9319999999999999,false
20260811,gaussian-010,0.1,0.07,0.069,-0.0010000000000000009,0.9299999999999999,false
20260811,gaussian-020,0.2,0.067,0.066,-0.0010000000000000009,0.933,false
20260811,gaussian-030,0.3,0.068,0.068,0.0,0.9319999999999999,false
20260811,gaussian-040,0.4,0.065,0.065,0.0,0.935,false
20260811,occlusion-010,0.1,0.073,0.076,0.0030000000000000027,0.927,false
20260811,occlusion-025,0.25,0.096,0.099,0.0030000000000000027,0.904,false
20260811,occlusion-040,0.4,0.108,0.092,-0.016,0.892,false
20260811,occlusion-055,0.55,0.126,0.093,-0.033,0.874,false
20260811,vertical-strip,0.25,0.097,0.097,0.0,0.903,true
20260811,horizontal-strip,0.25,0.114,0.113,-0.0010000000000000009,0.886,true
20260811,central-block,0.25,0.1,0.09,-0.010000000000000009,0.9,true
20260811,random-patches,0.25,0.087,0.085,-0.001999999999999988,0.913,false
