run,seed,corruption,severity,recurrence,wrong_to_correct,correct_to_wrong,wrong_to_correct_probability,correct_to_wrong_probability,confidence_amplifications,confidence_amplification_probability
brief3_primary_clean_seed_20260809,20260809,clean,0.0,1,0,0,0.0,0.0,0,0.0
brief3_primary_clean_seed_20260809,20260809,clean,0.0,2,0,0,0.0,0.0,998,0.998
brief3_primary_clean_seed_20260809,20260809,clean,0.0,3,0,0,0.0,0.0,1000,1.0
brief3_primary_clean_seed_20260809,20260809,clean,0.0,4,0,0,0.0,0.0,1000,1.0
brief3_primary_clean_seed_20260809,20260809,clean,0.0,5,0,0,0.0,0.0,1000,1.0
brief3_primary_clean_seed_20260809,20260809,clean,0.0,6,0,0,0.0,0.0,999,0.999
brief3_primary_clean_seed_20260809,20260809,clean,0.0,7,0,0,0.0,0.0,999,0.999
brief3_primary_clean_seed_20260809,20260809,clean,0.0,8,0,0,0.0,0.0,1000,1.0
brief3_primary_clean_seed_20260809,20260809,clean,0.0,9,0,0,0.0,0.0,1000,1.0
brief3_primary_clean_seed_20260809,20260809,clean,0.0,10,0,0,0.0,0.0,1000,1.0
brief3_primary_clean_seed_20260809,20260809,clean,0.0,11,0,0,0.0,0.0,999,0.999
brief3_primary_clean_seed_20260809,20260809,clean,0.0,12,0,0,0.0,0.0,1000,1.0
brief3_primary_clean_seed_20260809,20260809,clean,0.0,13,0,0,0.0,0.0,1000,1.0
brief3_primary_clean_seed_20260809,20260809,clean,0.0,14,0,0,0.0,0.0,1000,1.0
brief3_primary_clean_seed_20260809,20260809,clean,0.0,15,0,0,0.0,0.0,999,0.999
brief3_primary_clean_seed_20260809,20260809,clean,0.0,16,0,0,0.0,0.0,999,0.999
brief3_primary_clean_seed_20260809,20260809,clean,0.0,17,0,0,0.0,0.0,999,0.999
brief3_primary_clean_seed_20260809,20260809,clean,0.0,18,0,0,0.0,0.0,997,0.997
brief3_primary_clean_seed_20260809,20260809,clean,0.0,19,0,0,0.0,0.0,994,0.994
brief3_primary_clean_seed_20260809,20260809,clean,0.0,20,0,0,0.0,0.0,987,0.987
brief3_primary_clean_seed_20260809,20260809,clean,0.0,21,0,0,0.0,0.0,977,0.977
brief3_primary_clean_seed_20260809,20260809,clean,0.0,22,0,0,0.0,0.0,963,0.963
